"login","rater","latest_login","self_assessment","rating","comment"
"ssu2008380482","jiji","2011-12-17 11:13 PM","IntermediateHigh","IM2","You are able to respond to some questions directly and with confidence. Although, there are some questions that you were not able to comprehend with the correct answer. You need to improve a little with your grammar and pronunciation.You need to practice more on your pronunciations. Also, please study at least one vocabulary word per day so that it will also improve your  grammar and for you to express your answers well next time. You also need to practice more on your intonation so that you will not sound monotonous all the time. But in general I like your confidence in answering every questions. Keep it up!"
"hsu06130101","jiji","2011-12-08 04:02 PM","Superior","IM3","Make your voice a little bit louder so that your listener will clearly understand what you are saying. Open your mouth when you speak for you to be able to articulate words well. You know how to compose sentences though there are times that it takes you time to accomplish it. You can correct your own mistake in grammar which is actually good. Try to know more expression because you sounded monotonous all the time. Be very careful with the proper usage of the articles like \"a,an,the\". Avoid fillers like \"ah, uhm\" so that you will not sound informal in speaking."
"hsu07510742","jiji","2011-12-08 01:59 PM","Intermediate","IM2","You are able to pronounce almost all of the words well but there is a need for you to emphasize vowel sounds like /a/,/e/,/i/,/o/,/u/. Know more expression for you not sound monotonous all the time, try to improve a little on your speaking speed. You know how to compose sentences know the proper usage of prepositions like \"in,on,at\" and conjunctions like and,but,for and etc. to make your sentences complete. You are able to use simple words in your sentences. Study more words to express your answers well next time."
"hsu07930131","jiji","2011-12-08 01:59 PM","Advanced","IM3","Make your voice a little bit louder because you are giving your listener a hard time hearing you. You know how to compose long sentences, though it takes you time to complete some of your sentences but you did your best. Know more words so that you will be able to deliver or express your answers well next time. Study more expression for you not sound monotonous all the time. You are able to answer most of the questions well though you have frequent pauses, try to avoid it because it will cause you so much time."
"hsu071","jiji","2011-12-08 01:59 PM","IntermediateHigh","IH","You are very confident in speaking though there are some pronunciation lapses but those were just manageable. Emphasize vowel sounds like /a/,/e/,/i/,/o/,/u/ and open your mouth when speaking so that you will be able to pronounce words well. You know the proper grammar structure though there are some lapses but those were just manageable too. Know more intonation or expression so that you will sound natural."
"dudvndfl1","christine","2011-11-13 06:24 PM","Advanced","IM1","You have answered the questions but not perfectly. Your word choice is not satisfactory and your sentence structure is inconsistent. Therefore, you need to learn more words and expressions and have deeper understanding on the grammar rules as well."
"hsu05110043","christine","2011-11-10 04:20 PM","Intermediate","IL","You are able to answer the questions, however, some of your responses are out of the scope. You need to comprehend the flow of your ideas and it's very important to understand and get the main target of the questions as well to deliver your response more easily. Furthermore, your responses need more grammar control."
"hsu05110042","christine","2011-11-10 04:03 PM","Novice","IL","You are able to answer the questions but not perfectly. Your main concern is your grammar structure. Your vocabularies are simple and you tend to misuse some of them in your sentences. You try to link your sentences to achieve coherence but it isn't perfect."
"hsu08340501","christine","2011-11-10 04:01 PM","Intermediate","NH","You have tried to answer the questions but your responses are incomplete. Your ideas are too shallow and irrelevant. It is very important to understand and get the main target of the questions so that you could easily answer the questions without hesitations. Lack of vocabularies hinders you to express your thoughts and ideas freely."
"hsu07940861","christine","2011-11-10 04:00 PM","Intermediate","NM","Hesitations make your speech broken and uneven. You must enhance your listening comprehension skills so that you can easily answer the questions. You run out of ideas to express to almost all questions being asked. You have difficulty organizing your thoughts and ideas as well. Lack of vocabulary hinders you to elaborate your answers. Therefore, you need to enrich your vocabulary and work more on your grammar structure."
